IDX	Exhaus	First	Statistic
318	5	6	PIC
319	5	8	PIC
320	4	7	PIC
321	6	7	PIC
322	3	6	PIC
323	4	5	PIC
324	4	9	PIC
325	2	2	PIC
326	4	9	PIC
327	3	5	PIC
328	4	6	PIC
329	3	4	PIC
330	4	6	PIC
331	3	8	PIC
332	3	4	PIC
333	4	10	PIC
334	3	3	PIC
335	4	9	PIC
336	4	8	PIC
337	4	6	PIC
338	4	5	PIC
339	3	3	PIC
340	3	4	PIC
341	3	5	PIC
342	3	3	PIC
343	4	5	PIC
344	3	4	PIC
345	4	6	PIC
346	3	6	PIC
347	4	8	PIC
348	3	7	PIC
349	3	6	PIC
350	5	10	PIC
351	4	6	PIC
352	5	7	PIC
353	3	3	PIC
354	3	5	PIC
355	3	5	PIC
356	4	7	PIC
357	3	4	PIC
358	4	5	PIC
359	5	5	PIC
360	4	6	PIC
361	3	3	PIC
362	4	7	PIC
363	3	6	PIC
364	4	5	PIC
365	3	4	PIC
366	5	7	PIC
367	3	4	PIC
368	4	5	PIC
369	3	4	PIC
370	3	5	PIC
371	4	8	PIC
372	4	6	PIC
373	3	5	PIC
374	4	4	PIC
375	5	6	PIC
376	4	9	PIC
377	4	5	PIC
378	5	6	PIC
379	3	4	PIC
380	4	5	PIC
381	4	6	PIC
382	3	8	PIC
383	3	10	PIC
384	3	3	PIC
385	3	4	PIC
386	3	7	PIC
387	3	7	PIC
388	4	6	PIC
389	4	8	PIC
390	2	2	PIC
391	3	6	PIC
392	3	6	PIC
393	4	9	PIC
394	5	8	PIC
395	4	8	PIC
396	4	8	PIC
397	3	6	PIC
398	3	3	PIC
399	3	5	PIC
400	3	5	PIC
401	4	8	PIC
402	4	5	PIC
403	3	4	PIC
404	3	3	PIC
405	2	2	PIC
406	3	4	PIC
407	5	9	PIC
408	3	3	PIC
409	3	4	PIC
410	4	5	PIC
411	3	3	PIC
412	4	4	PIC
413	4	7	PIC
414	5	7	PIC
415	3	3	PIC
416	3	6	PIC
417	4	9	PIC
418	5	10	PIC
419	3	3	PIC
420	4	8	PIC
421	5	8	PIC
422	4	5	PIC
423	3	4	PIC
424	4	9	PIC
425	4	6	PIC
426	5	9	PIC
427	4	7	PIC
428	4	8	PIC
429	4	4	PIC
430	3	5	PIC
431	3	5	PIC
432	3	8	PIC
433	3	3	PIC
434	4	6	PIC
435	5	8	PIC
436	4	7	PIC
437	4	5	PIC
438	3	8	PIC
439	4	6	PIC
440	4	6	PIC
441	5	6	PIC
442	4	7	PIC
443	4	7	PIC
