Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
1609	0	0	3	3		0.8288,0.6149,0.7218;0.8288,0.6717,0.7502;0.8288,0.2995,0.5641	0.8288,0.6149,0.7218;0.8288,0.6717,0.7502;0.8288,0.2995,0.5641	0.7978,0.6454,0.7216;0.7978,0.6756,0.7367;0.7978,0.3142,0.556	0.7978,0.6454,0.7216;0.7978,0.6756,0.7367;0.7978,0.3142,0.556
1610	0	0	0	0	Both_failed	0	0	0	0
1611	0	0	0	0	Both_failed	0	0	0	0
1612	0	0	3	3		0.8808,0.6717,0.7762;0.8808,0.5233,0.7021;0.8808,0.5535,0.7171	0.8808,0.6717,0.7762;0.8808,0.5233,0.7021;0.8808,0.5535,0.7171	0.8442,0.6756,0.7599;0.8442,0.535,0.6896;0.8442,0.5812,0.7127	0.8442,0.6756,0.7599;0.8442,0.535,0.6896;0.8442,0.5812,0.7127
1613	0	0	0	0	Both_failed	0	0	0	0
1614	0	0	2	2		0.4951,0.5901,0.7169,0.6007;0.4951,0.5901,0.5535,0.5462	0.4951,0.5901,0.7169,0.6007;0.4951,0.5901,0.5535,0.5462	0.5632,0.6102,0.7204,0.6313;0.5632,0.6102,0.5812,0.5849	0.5632,0.6102,0.7204,0.6313;0.5632,0.6102,0.5812,0.5849
1615	0	0	0	0	Both_failed	0	0	0	0
1616	0	0	0	0	Both_failed	0	0	0	0
1617	0	0	0	0	Both_failed	0	0	0	0
1618	0	0	0	0	Both_failed	0	0	0	0
1619	0	0	0	0	Both_failed	0	0	0	0
1620	0	0	0	0	Both_failed	0	0	0	0
1621	0	0	0	0	Both_failed	0	0	0	0
1622	0	0	0	0	Both_failed	0	0	0	0
1623	0	0	0	0	Both_failed	0	0	0	0
1624	0	0	0	0	Both_failed	0	0	0	0
1625	0	0	0	0	Both_failed	0	0	0	0
1626	0	0	1	1		0.4951,0.5901,0.6149,0.5667	0.6149,0.4951,0.5901,0.5667	0.5632,0.6102,0.6454,0.6063	0.6454,0.5632,0.6102,0.6063
1627	0	0	0	0	Both_failed	0	0	0	0
1628	0	0	0	0	Both_failed	0	0	0	0
1629	0	0	0	0	Both_failed	0	0	0	0
1630	0	0	4	6	Exhaus	0.6717,0.4124,0.2551,0.4464;0.6717,0.4124,0.2551,0.4464;0.6717,0.5141,0.2551,0.4803;0.6717,0.5141,0.2551,0.4803	0.6717,0.2551,0.4124,0.4464;0.6717,0.2551,0.5141,0.4803;0.6717,0.4124,0.2551,0.4464;0.6717,0.2551,0.5141,0.4803;0.2551,0.4124,0.5141,0.3939;0.4124,0.2551,0.5141,0.3939	0.6756,0.4662,0.3318,0.4912;0.6756,0.4662,0.3318,0.4912;0.6756,0.5862,0.3318,0.5312;0.6756,0.5862,0.3318,0.5312	0.6756,0.3318,0.4662,0.4912;0.6756,0.3318,0.5862,0.5312;0.6756,0.4662,0.3318,0.4912;0.6756,0.3318,0.5862,0.5312;0.3318,0.4662,0.5862,0.4614;0.4662,0.3318,0.5862,0.4614
1631	0	0	0	0	Both_failed	0	0	0	0
1632	0	0	0	0	Both_failed	0	0	0	0
1633	0	0	0	0	Both_failed	0	0	0	0
1634	0	0	0	0	Both_failed	0	0	0	0
1635	0	0	0	0	Both_failed	0	0	0	0
1636	0	0	2	2		0.5616,0.4527,0.6501,0.5548;0.5616,0.4527,0.4124,0.4756	0.5616,0.6501,0.4527,0.5548;0.5616,0.4124,0.4527,0.4756	0.5958,0.4992,0.642,0.579;0.5958,0.4992,0.4662,0.5204	0.5958,0.642,0.4992,0.579;0.5958,0.4662,0.4992,0.5204
1637	0	0	0	0	Both_failed	0	0	0	0
1638	0	0	2	2		0.6717,0.4951,0.5901,0.5856;0.6717,0.4951,0.6501,0.6056	0.6717,0.5901,0.4951,0.5856;0.6717,0.4951,0.6501,0.6056	0.6756,0.5632,0.6102,0.6163;0.6756,0.5632,0.642,0.6269	0.6756,0.6102,0.5632,0.6163;0.6756,0.5632,0.642,0.6269
1639	0	0	0	0	Both_failed	0	0	0	0
