Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
2274	0	0	0	0	Both_failed	0	0	0	0
2275	0	0	3	4	Exhaus	0.8288,0.5535,0.6501,0.6775;0.8288,0.5535,0.7522,0.7115;0.8288,0.5535,0.2551,0.5458	0.6501,0.5535,0.8288,0.6775;0.6501,0.7522,0.8288,0.7437;0.5535,0.7522,0.8288,0.7115;0.5535,0.8288,0.2551,0.5458	0.7978,0.5812,0.642,0.6737;0.7978,0.5812,0.73,0.703;0.7978,0.5812,0.3318,0.5703	0.642,0.5812,0.7978,0.6737;0.642,0.73,0.7978,0.7233;0.5812,0.73,0.7978,0.703;0.5812,0.7978,0.3318,0.5703
2276	0	0	0	0	Both_failed	0	0	0	0
2277	0	0	0	0	Both_failed	0	0	0	0
2278	0	0	0	0	Both_failed	0	0	0	0
2279	0	0	0	0	Both_failed	0	0	0	0
2280	0	0	0	0	Both_failed	0	0	0	0
2281	0	0	0	0	Both_failed	0	0	0	0
2282	0	0	0	0	Both_failed	0	0	0	0
2283	0	0	0	0	Both_failed	0	0	0	0
2284	0	0	0	0	Both_failed	0	0	0	0
2285	0	0	0	0	Both_failed	0	0	0	0
2286	0	0	0	0	Both_failed	0	0	0	0
2287	0	0	1	1		0.7522,0.4951,0.5535,0.2995,0.5251	0.7522,0.2995,0.4951,0.5535,0.5251	0.73,0.5632,0.5812,0.3142,0.5472	0.73,0.3142,0.5632,0.5812,0.5472
2288	0	0	0	0	Both_failed	0	0	0	0
2289	0	0	0	0	Both_failed	0	0	0	0
2290	0	0	0	0	Both_failed	0	0	0	0
2291	0	0	0	0	Both_failed	0	0	0	0
2292	0	0	0	0	Both_failed	0	0	0	0
2293	0	0	0	0	Both_failed	0	0	0	0
2294	0	0	0	0	Both_failed	0	0	0	0
2295	0	0	0	0	Both_failed	0	0	0	0
2296	0	0	0	0	Both_failed	0	0	0	0
2297	0	0	0	0	Both_failed	0	0	0	0
2298	0	0	0	0	Both_failed	0	0	0	0
2299	0	0	0	0	Both_failed	0	0	0	0
2300	0	0	0	0	Both_failed	0	0	0	0
2301	0	0	0	0	Both_failed	0	0	0	0
2302	0	0	0	0	Both_failed	0	0	0	0
2303	0	0	1	1		0.6717,0.6149,0.4951,0.4518,0.5584	0.6149,0.4518,0.6717,0.4951,0.5584	0.6756,0.6454,0.5632,0.45,0.5836	0.6454,0.45,0.6756,0.5632,0.5836
2304	0	0	0	0	Both_failed	0	0	0	0
2305	0	0	0	0	Both_failed	0	0	0	0
2306	0	0	0	0	Both_failed	0	0	0	0
2307	0	0	0	0	Both_failed	0	0	0	0
2308	0	0	0	0	Both_failed	0	0	0	0
2309	0	0	1	1		0.5233,0.4951,0.4124,0.4859,0.4792	0.4124,0.4859,0.4951,0.5233,0.4792	0.535,0.5632,0.4662,0.5478,0.528	0.4662,0.5478,0.5632,0.535,0.528
2310	0	0	0	0	Both_failed	0	0	0	0
